Player,Team,Height,Weight,MinutesPlayed,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,Reb_Off_3_48,Reb_Off_2_48,Reb_Def_3_48,Reb_Def_2_48
"Dennis Smith Jr.",DAL,190,88,908,23.3,24.1,0.35,0.23,0.3172,0.6344,1.5330,2.5374
"Nerlens Noel",OKC,211,99,1055,13.8,5.9,0,0.286,1.5469,4.1858,2.5934,5.2322
"Nemanja Bjelica",SAC,208,106,1788,16.5,11.1,0.433,0.155,0.8054,2.4966,2.8725,4.9128
"Marvin Bagley III",SAC,211,106,1567,24.2,5.9,0.136,0.371,1.2253,3.7064,4.1353,4.4110
"CJ McCollum",POR,190,86,2375,25.5,13.8,0.358,0.154,0.4648,0.7478,1.6977,2.5869
"Frank Jackson",NO,190,92,1169,18.5,8,0.378,0.163,0.3695,0.6159,2.2173,2.2173
"D.J. Wilson",MIL,208,104,882,14.4,7.6,0.506,0.187,0.7619,1.5782,4.6259,4.1361
"JaMychal Green",MEM,206,102,900,20.4,6.5,0.308,0.256,1.2267,2.5600,3.7867,4.5867
"Dario Saric",MIN,208,101,1627,17.8,8.8,0.449,0.213,1.3276,1.4751,3.2452,4.0713
"Wayne Selden",CHI,196,104,984,18,10.8,0.345,0.196,0.2439,0.8293,1.9512,3.2195
"Quinn Cook",GS,188,81,1059,20.2,15.2,0.456,0.059,0.2720,0.6346,2.4023,3.7167
"Buddy Hield",SAC,193,97,2615,25.1,11.9,0.479,0.142,0.5507,1.3767,2.8818,2.6799
"Torrey Craig",DEN,201,97,1503,12.4,6.3,0.519,0.193,1.2774,1.4371,2.5549,2.4271
"Jared Dudley",BKN,201,107,1220,10.4,9.2,0.632,0.192,0.5508,0.5902,1.6525,2.7541
"Wesley Iwundu",ORL,201,88,1233,12.8,7.9,0.288,0.376,0.6618,0.7786,2.5304,2.6472
"Draymond Green",GS,201,104,2065,13.1,26.8,0.391,0.216,0.4881,0.7903,3.5797,5.1370
"Dwyane Wade",MIA,193,99,1885,27.9,26.5,0.272,0.243,0.5857,1.1204,2.1390,3.1576
"Karl-Anthony Towns",MIN,213,112,2545,28.9,17.2,0.27,0.342,1.6597,3.2063,4.5077,7.3933
"Brook Lopez",MIL,213,122,2322,16.7,5.7,0.651,0.169,0.1240,0.5168,2.4599,4.6512
"Kenrich Williams",NO,201,95,1079,12.3,9.5,0.559,0.068,1.1566,1.2011,2.8916,3.9147
"D.J. Augustin",ORL,183,83,2269,17.2,26.9,0.459,0.309,0.2539,0.6135,1.6078,1.7558
"De'Aaron Fox",SAC,190,79,2546,24.5,33.2,0.211,0.378,0.1320,0.6410,2.5263,2.3755
"Tyler Johnson",MIA,193,86,1123,19.2,14.9,0.509,0.219,0.2992,0.5129,1.6242,2.6500
"Shaun Livingston",GS,201,87,967,12,14.8,0.01,0.243,0.8935,1.1913,1.3899,2.2834
"Willy Hernangomez",CHA,211,108,812,22.1,11.5,0.132,0.488,1.7734,4.9064,4.4335,6.3251
"Clint Capela",HOU,208,108,2249,18.2,7.1,0,0.357,2.3904,3.8631,4.4393,6.7870
"Al-Farouq Aminu",POR,206,99,2292,13.7,6,0.472,0.292,0.6492,1.6126,3.2670,6.3037
"Delon Wright",MEM,196,83,802,19.2,26.9,0.294,0.336,0.8379,0.9576,3.4713,2.6933
"Trey Lyles",DEN,208,106,1120,23.4,11.3,0.404,0.234,0.6000,1.2429,3.0429,4.9286
"Richaun Holmes",PHX,208,106,1184,17.9,7.9,0,0.479,1.4595,3.1622,3.2838,4.5811
"Joel Embiid",PHI,213,113,2154,33.3,18.4,0.219,0.541,0.8245,2.7187,5.5487,8.9582
"Danilo Gallinari",LAC,208,102,2059,23.8,13.2,0.421,0.459,0.3963,0.7227,2.6343,5.4085
"Pat Connaughton",MIL,193,94,1261,13.3,12.6,0.571,0.114,1.1039,1.1039,3.7304,3.5400
"Jayson Tatum",BOS,203,94,2455,22.1,10,0.3,0.22,0.4888,0.8798,3.4607,3.7540
"Vince Carter",ATL,198,99,1330,16.7,9.3,0.675,0.141,0.5053,0.5414,2.0211,2.7429
"Ben Simmons",PHI,208,104,2700,22.1,34.2,0.006,0.446,1.1200,1.9378,3.8222,4.6756
