Player,Team,Age,Height,Weight,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,TotalFouls,TotalBlocks,OR3_per48,OR2_per48,DR3_per48,DR2_per48
"Zaza Pachulia",DET,34,211,122,15,14.7,0.021,0.642,151,17,1.3667,3.8815,2.3508,5.7403
"Harrison Barnes",DAL,26,203,102,23.7,6.3,0.434,0.276,79,11,0.1818,0.8485,2.0000,2.7576
"Mike Conley",MEM,31,185,79,27.3,33.4,0.38,0.363,123,22,0.2254,0.5739,1.8651,2.2135
"Cory Joseph",IND,27,190,90,13.7,20.7,0.312,0.078,131,22,0.3257,0.5351,2.6292,2.7455
"Ante Zizic",CLE,22,211,115,18.2,7.7,0,0.399,113,22,1.0203,3.7264,3.7264,5.0573
"Bojan Bogdanovic",IND,29,203,97,22.4,9.5,0.367,0.29,138,1,0.1866,0.4104,2.6677,2.2386
"Zach Collins",POR,21,211,105,16.6,7.1,0.303,0.315,174,66,0.9558,2.7257,2.8673,4.0354
"Trae Young",ATL,20,188,81,28.4,40.5,0.384,0.33,140,15,0.3644,0.8246,2.2437,2.1095
"Lance Stephenson",LAL,28,198,104,20.3,17.3,0.456,0.169,111,7,0.5129,0.8549,3.4194,4.2743
"Jeff Green",WSH,32,206,106,17.8,9.2,0.466,0.3,160,39,0.5036,0.8011,2.3348,3.0672
"John Wall",WSH,28,193,95,28.8,39.2,0.306,0.317,71,24,0.2609,0.3913,2.3913,1.9565
"Trevor Ariza",PHX,33,203,97,13.8,13.5,0.612,0.189,44,8,0.2172,0.5973,2.6063,3.2579
"Darren Collison",IND,31,183,79,17.7,29.9,0.294,0.288,138,9,0.3136,0.4928,1.9935,2.3294
"Josh Jackson",PHX,21,203,93,23.9,14.1,0.268,0.253,209,56,0.4588,1.0865,2.7525,3.3803
"Meyers Leonard",POR,26,213,117,14.8,11.8,0.459,0.211,105,9,1.0387,1.7494,3.9362,5.5216
"Garrett Temple",MEM,32,196,88,13.9,6.7,0.543,0.196,134,25,0.2196,0.3451,1.6000,2.1333
"Danilo Gallinari",LAC,30,208,105,23.8,13.2,0.421,0.459,129,23,0.3963,0.7227,2.6343,5.4085
"Rodions Kurucs",BKN,20,206,103,18.4,6,0.41,0.205,146,25,0.8532,1.1128,2.5224,4.1175
"Monte Morris",DEN,23,188,79,17.1,21.7,0.323,0.115,102,4,0.3411,0.5117,1.8274,1.9980
"Andre Iguodala",GS,35,198,97,10.4,16.8,0.477,0.222,95,51,0.6084,0.7909,2.4639,3.4373
"Kevon Looney",GS,22,206,99,12.8,10.9,0.029,0.303,211,53,1.6205,4.5375,2.1067,4.3754
"Wendell Carter Jr.",CHI,19,206,117,19.1,10.7,0.086,0.302,152,58,1.0378,2.6811,3.8054,5.1459
"Thomas Bryant",WSH,21,208,112,17.6,9.3,0.197,0.273,126,67,1.2834,2.3743,4.1390,5.9037
"Rodney Hood",CLE,26,203,94,19.1,11.5,0.335,0.251,101,5,0.1556,0.5057,1.6726,1.8671
"Nikola Vucevic",ORL,28,213,117,28,21.9,0.171,0.168,157,89,1.2048,3.0406,4.7809,8.4526
"Markieff Morris",WSH,29,208,111,19.5,9.6,0.439,0.223,117,20,0.8154,1.2503,3.2616,3.5334
"T.J. Warren",PHX,25,203,97,22.7,7.7,0.295,0.203,119,29,0.1059,0.5294,1.3412,1.3059
"Miles Bridges",CHA,20,201,102,15.1,8.1,0.391,0.151,111,49,0.8491,0.9906,3.3113,3.3113
"Brandon Ingram",LAL,21,206,86,23.2,12.9,0.129,0.396,149,31,0.2182,0.8182,2.8909,3.0818
"Shaun Livingston",GS,33,201,87,12,14.8,0.01,0.243,74,27,0.8935,1.1913,1.3899,2.2834
